# Time-correlated data for fix ave2
# Time v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz v_pxxyy*v_pxxyy v_pxxzz*v_pxxzz v_pyyzz*v_pyyzz
# Timestep: 9363456
7.20896e+06 9.84823 -3.88532 4.96915 -24.3853 -2.1501 -11.9742 
7.86432e+06 0.591918 -6.56148 2.89683 -29.0373 -3.88013 -2.97379 
8.51968e+06 -0.257573 3.74876 1.87066 -13.6901 -8.60121 -8.02534 
9.17504e+06 -0.218156 2.61168 2.80029 1.02017 6.88425 6.80432 
9.8304e+06 -1.77277 3.11724 3.75471 -10.5856 1.9228 0.30311 
1.04858e+07 -1.29118 -2.99791 -0.877932 -10.5655 5.69211 1.43331 
1.17965e+07 -2.29979 1.05204 -1.86185 8.40934 6.64274 9.36188 
1.31072e+07 -0.439174 0.280017 -5.69268 10.0911 13.0819 0.766613 
1.44179e+07 -0.448724 -1.71154 -2.74561 14.2996 15.48 5.4557 
1.57286e+07 0.947319 -0.875681 -0.843304 15.9339 10.4632 -6.58284 
1.70394e+07 2.65362 -2.40822 -0.445045 14.1284 13.8738 2.29345 
1.83501e+07 1.04329 3.76534 1.88196 -4.12979 20.3738 -5.69224 
1.96608e+07 -2.90201 -2.0806 -0.0848794 -3.71269 -3.7196 -5.94922 
2.09715e+07 -2.41348 -2.43221 -3.4378 -4.77143 8.73451 7.0469 
2.3593e+07 1.59661 0.614577 0.0559542 -8.34707 -20.0976 1.40623 
2.62144e+07 -1.74459 2.78136 5.71426 6.69923 -13.2522 1.38724 
2.88358e+07 1.91877 1.31589 -2.28915 10.2607 15.2097 7.07862 
3.14573e+07 0.985645 2.00988 -1.35873 -7.59597 38.3749 -0.17182 
3.40787e+07 -3.01954 -2.0943 1.03236 6.56624 23.6932 -24.3365 
3.67002e+07 -1.09771 -0.399195 0.861042 4.09994 -38.899 -28.6776 
3.93216e+07 0.163916 -1.38724 0.270573 -1.83756 -74.5886 -3.29538 
